Época [1/50] - Perdida entrenamiento: 527.8378, Precision: 0.0031 - Perdida validador: 183.3124, Precision validador: 0.0048
Época [2/50] - Perdida entrenamiento: 153.4251, Precision: 0.0031 - Perdida validador: 142.4866, Precision validador: 0.0048
Época [3/50] - Perdida entrenamiento: 121.6507, Precision: 0.0094 - Perdida validador: 164.7782, Precision validador: 0.0124
Época [4/50] - Perdida entrenamiento: 119.3922, Precision: 0.0047 - Perdida validador: 114.2003, Precision validador: 0.0096
Época [5/50] - Perdida entrenamiento: 99.3729, Precision: 0.0063 - Perdida validador: 104.2088, Precision validador: 0.0048
Época [6/50] - Perdida entrenamiento: 91.4031, Precision: 0.0063 - Perdida validador: 95.4885, Precision validador: 0.0168
Época [7/50] - Perdida entrenamiento: 85.5128, Precision: 0.0063 - Perdida validador: 95.5942, Precision validador: 0.0120
Época [8/50] - Perdida entrenamiento: 76.8746, Precision: 0.0125 - Perdida validador: 90.1131, Precision validador: 0.0124
Época [9/50] - Perdida entrenamiento: 69.8009, Precision: 0.0047 - Perdida validador: 79.7120, Precision validador: 0.0172
Época [10/50] - Perdida entrenamiento: 63.2162, Precision: 0.0078 - Perdida validador: 83.7673, Precision validador: 0.0072
Época [11/50] - Perdida entrenamiento: 69.8494, Precision: 0.0078 - Perdida validador: 73.8785, Precision validador: 0.0096
Época [12/50] - Perdida entrenamiento: 67.0300, Precision: 0.0094 - Perdida validador: 82.6813, Precision validador: 0.0072
Época [13/50] - Perdida entrenamiento: 83.2306, Precision: 0.0063 - Perdida validador: 68.6480, Precision validador: 0.0072
Época [14/50] - Perdida entrenamiento: 56.3965, Precision: 0.0125 - Perdida validador: 63.3457, Precision validador: 0.0168
Época [15/50] - Perdida entrenamiento: 56.4234, Precision: 0.0141 - Perdida validador: 85.7510, Precision validador: 0.0024
Época [16/50] - Perdida entrenamiento: 59.9631, Precision: 0.0094 - Perdida validador: 78.8040, Precision validador: 0.0220
Época [17/50] - Perdida entrenamiento: 58.4270, Precision: 0.0141 - Perdida validador: 59.4324, Precision validador: 0.0072
Época [18/50] - Perdida entrenamiento: 53.9818, Precision: 0.0047 - Perdida validador: 75.3265, Precision validador: 0.0096
Época [19/50] - Perdida entrenamiento: 63.5481, Precision: 0.0109 - Perdida validador: 87.6921, Precision validador: 0.0024
Época [20/50] - Perdida entrenamiento: 56.7174, Precision: 0.0109 - Perdida validador: 73.3659, Precision validador: 0.0148
Época [21/50] - Perdida entrenamiento: 50.6313, Precision: 0.0109 - Perdida validador: 57.9055, Precision validador: 0.0144
Época [22/50] - Perdida entrenamiento: 52.3830, Precision: 0.0109 - Perdida validador: 60.2372, Precision validador: 0.0192
Época [23/50] - Perdida entrenamiento: 52.4224, Precision: 0.0281 - Perdida validador: 82.3158, Precision validador: 0.0024
Época [24/50] - Perdida entrenamiento: 61.5796, Precision: 0.0094 - Perdida validador: 84.1359, Precision validador: 0.0196
Época [25/50] - Perdida entrenamiento: 54.4300, Precision: 0.0109 - Perdida validador: 86.4742, Precision validador: 0.0096
Época [26/50] - Perdida entrenamiento: 55.4261, Precision: 0.0109 - Perdida validador: 56.4947, Precision validador: 0.0072
Época [27/50] - Perdida entrenamiento: 45.2250, Precision: 0.0172 - Perdida validador: 58.8730, Precision validador: 0.0100
Época [28/50] - Perdida entrenamiento: 54.6422, Precision: 0.0172 - Perdida validador: 54.6451, Precision validador: 0.0072
Época [29/50] - Perdida entrenamiento: 47.7730, Precision: 0.0187 - Perdida validador: 68.4113, Precision validador: 0.0072
Época [30/50] - Perdida entrenamiento: 49.2241, Precision: 0.0078 - Perdida validador: 56.6502, Precision validador: 0.0120
Época [31/50] - Perdida entrenamiento: 44.0510, Precision: 0.0063 - Perdida validador: 96.3641, Precision validador: 0.0100
Época [32/50] - Perdida entrenamiento: 56.2811, Precision: 0.0078 - Perdida validador: 64.2753, Precision validador: 0.0048
Época [33/50] - Perdida entrenamiento: 46.2655, Precision: 0.0187 - Perdida validador: 53.5898, Precision validador: 0.0288
Época [34/50] - Perdida entrenamiento: 46.8090, Precision: 0.0109 - Perdida validador: 61.2042, Precision validador: 0.0048
Época [35/50] - Perdida entrenamiento: 51.2167, Precision: 0.0078 - Perdida validador: 58.9676, Precision validador: 0.0072
Época [36/50] - Perdida entrenamiento: 48.6658, Precision: 0.0078 - Perdida validador: 54.5188, Precision validador: 0.0072
Época [37/50] - Perdida entrenamiento: 47.3567, Precision: 0.0063 - Perdida validador: 86.9138, Precision validador: 0.0144
Época [38/50] - Perdida entrenamiento: 54.9783, Precision: 0.0094 - Perdida validador: 57.1064, Precision validador: 0.0024
Época [39/50] - Perdida entrenamiento: 53.1872, Precision: 0.0094 - Perdida validador: 77.1760, Precision validador: 0.0024
Época [40/50] - Perdida entrenamiento: 55.3515, Precision: 0.0094 - Perdida validador: 60.9797, Precision validador: 0.0024
Época [41/50] - Perdida entrenamiento: 48.0488, Precision: 0.0078 - Perdida validador: 64.9938, Precision validador: 0.0168
Época [42/50] - Perdida entrenamiento: 45.9934, Precision: 0.0109 - Perdida validador: 60.7390, Precision validador: 0.0024
Época [43/50] - Perdida entrenamiento: 47.5465, Precision: 0.0203 - Perdida validador: 53.3199, Precision validador: 0.0072
Época [44/50] - Perdida entrenamiento: 42.3687, Precision: 0.0125 - Perdida validador: 56.3399, Precision validador: 0.0172
Época [45/50] - Perdida entrenamiento: 49.9274, Precision: 0.0125 - Perdida validador: 53.7672, Precision validador: 0.0168
Época [46/50] - Perdida entrenamiento: 48.6426, Precision: 0.0128 - Perdida validador: 53.9684, Precision validador: 0.0096
Época [47/50] - Perdida entrenamiento: 45.1396, Precision: 0.0141 - Perdida validador: 51.1270, Precision validador: 0.0148
Época [48/50] - Perdida entrenamiento: 44.0345, Precision: 0.0125 - Perdida validador: 64.9120, Precision validador: 0.0072
Época [49/50] - Perdida entrenamiento: 45.5890, Precision: 0.0156 - Perdida validador: 57.3602, Precision validador: 0.0000
Época [50/50] - Perdida entrenamiento: 48.4233, Precision: 0.0141 - Perdida validador: 61.3270, Precision validador: 0.0120
