Época [1/50] - Perdida entrenamiento: 0.2219, Precision: 0.2800 - Perdida validador: 0.1801, Precision validador: 0.0000
Época [2/50] - Perdida entrenamiento: 0.1796, Precision: 0.0000 - Perdida validador: 0.1656, Precision validador: 0.0000
Época [3/50] - Perdida entrenamiento: 0.1665, Precision: 0.0036 - Perdida validador: 0.1643, Precision validador: 0.0086
Época [4/50] - Perdida entrenamiento: 0.1670, Precision: 0.0012 - Perdida validador: 0.1641, Precision validador: 0.0083
Época [5/50] - Perdida entrenamiento: 0.1672, Precision: 0.0060 - Perdida validador: 0.1663, Precision validador: 0.0000
Época [6/50] - Perdida entrenamiento: 0.1657, Precision: 0.0036 - Perdida validador: 0.1606, Precision validador: 0.1569
Época [7/50] - Perdida entrenamiento: 0.1684, Precision: 0.0445 - Perdida validador: 0.1634, Precision validador: 0.0000
Época [8/50] - Perdida entrenamiento: 0.1695, Precision: 0.0000 - Perdida validador: 0.1662, Precision validador: 0.0000
Época [9/50] - Perdida entrenamiento: 0.1663, Precision: 0.0000 - Perdida validador: 0.1682, Precision validador: 0.0000
Época [10/50] - Perdida entrenamiento: 0.1839, Precision: 0.0853 - Perdida validador: 0.1649, Precision validador: 0.0000
Época [11/50] - Perdida entrenamiento: 0.1746, Precision: 0.0793 - Perdida validador: 0.1688, Precision validador: 0.0000
Época [12/50] - Perdida entrenamiento: 0.1674, Precision: 0.0000 - Perdida validador: 0.1658, Precision validador: 0.0000
Época [13/50] - Perdida entrenamiento: 0.1675, Precision: 0.0000 - Perdida validador: 0.1690, Precision validador: 0.0000
Época [14/50] - Perdida entrenamiento: 0.1734, Precision: 0.0000 - Perdida validador: 0.1647, Precision validador: 0.0000
Época [15/50] - Perdida entrenamiento: 0.1665, Precision: 0.0000 - Perdida validador: 0.1679, Precision validador: 0.0000
Época [16/50] - Perdida entrenamiento: 0.1674, Precision: 0.0000 - Perdida validador: 0.1660, Precision validador: 0.0000
Época [17/50] - Perdida entrenamiento: 0.1701, Precision: 0.0000 - Perdida validador: 0.1644, Precision validador: 0.0000
Época [18/50] - Perdida entrenamiento: 0.1808, Precision: 0.0000 - Perdida validador: 0.1684, Precision validador: 0.0000
Época [19/50] - Perdida entrenamiento: 0.1923, Precision: 0.0000 - Perdida validador: 0.1683, Precision validador: 0.0000
Época [20/50] - Perdida entrenamiento: 0.1781, Precision: 0.0757 - Perdida validador: 0.1670, Precision validador: 0.0000
Época [21/50] - Perdida entrenamiento: 0.1786, Precision: 0.0126 - Perdida validador: 0.1655, Precision validador: 0.0000
Época [22/50] - Perdida entrenamiento: 0.1731, Precision: 0.0000 - Perdida validador: 0.1638, Precision validador: 0.0000
Época [23/50] - Perdida entrenamiento: 0.1729, Precision: 0.1034 - Perdida validador: 0.1658, Precision validador: 0.0000
Época [24/50] - Perdida entrenamiento: 0.1831, Precision: 0.0541 - Perdida validador: 0.1717, Precision validador: 0.0000
Época [25/50] - Perdida entrenamiento: 0.1707, Precision: 0.0000 - Perdida validador: 0.1643, Precision validador: 0.0000
Época [26/50] - Perdida entrenamiento: 0.1824, Precision: 0.0000 - Perdida validador: 0.1654, Precision validador: 0.0000
Época [27/50] - Perdida entrenamiento: 0.1767, Precision: 0.0415 - Perdida validador: 0.1682, Precision validador: 0.0000
Época [28/50] - Perdida entrenamiento: 0.1776, Precision: 0.0974 - Perdida validador: 0.1670, Precision validador: 0.0000
Época [29/50] - Perdida entrenamiento: 0.1676, Precision: 0.0000 - Perdida validador: 0.1641, Precision validador: 0.0000
Época [30/50] - Perdida entrenamiento: 0.1676, Precision: 0.0000 - Perdida validador: 0.1713, Precision validador: 0.0000
