Época [1/130] - Perdida entrenamiento: 0.3335, Precision: 0.1394 - Perdida validador: 0.2146, Precision validador: 0.0000
Época [2/130] - Perdida entrenamiento: 0.1879, Precision: 0.0000 - Perdida validador: 0.1636, Precision validador: 0.0000
Época [3/130] - Perdida entrenamiento: 0.1660, Precision: 0.0000 - Perdida validador: 0.1640, Precision validador: 0.0000
Época [4/130] - Perdida entrenamiento: 0.1658, Precision: 0.0000 - Perdida validador: 0.1640, Precision validador: 0.0000
Época [5/130] - Perdida entrenamiento: 0.1761, Precision: 0.0000 - Perdida validador: 0.1643, Precision validador: 0.0000
Época [6/130] - Perdida entrenamiento: 0.1759, Precision: 0.0000 - Perdida validador: 0.1655, Precision validador: 0.0000
Época [7/130] - Perdida entrenamiento: 0.1662, Precision: 0.0000 - Perdida validador: 0.1644, Precision validador: 0.0000
Época [8/130] - Perdida entrenamiento: 0.1764, Precision: 0.0000 - Perdida validador: 0.1651, Precision validador: 0.0000
Época [9/130] - Perdida entrenamiento: 0.1668, Precision: 0.0000 - Perdida validador: 0.1637, Precision validador: 0.0000
Época [10/130] - Perdida entrenamiento: 0.1657, Precision: 0.0000 - Perdida validador: 0.1636, Precision validador: 0.0000
Época [11/130] - Perdida entrenamiento: 0.1761, Precision: 0.0000 - Perdida validador: 0.1644, Precision validador: 0.0000
Época [12/130] - Perdida entrenamiento: 0.1668, Precision: 0.0000 - Perdida validador: 0.1664, Precision validador: 0.0000
Época [13/130] - Perdida entrenamiento: 0.1661, Precision: 0.0000 - Perdida validador: 0.1649, Precision validador: 0.0000
Época [14/130] - Perdida entrenamiento: 0.1763, Precision: 0.0000 - Perdida validador: 0.1650, Precision validador: 0.0000
Época [15/130] - Perdida entrenamiento: 0.1659, Precision: 0.0000 - Perdida validador: 0.1637, Precision validador: 0.0000
Época [16/130] - Perdida entrenamiento: 0.1657, Precision: 0.0000 - Perdida validador: 0.1636, Precision validador: 0.0000
Época [17/130] - Perdida entrenamiento: 0.1763, Precision: 0.0000 - Perdida validador: 0.1639, Precision validador: 0.0000
Época [18/130] - Perdida entrenamiento: 0.1674, Precision: 0.0000 - Perdida validador: 0.1645, Precision validador: 0.0000
Época [19/130] - Perdida entrenamiento: 0.1673, Precision: 0.0000 - Perdida validador: 0.1645, Precision validador: 0.0000
Época [20/130] - Perdida entrenamiento: 0.1667, Precision: 0.0000 - Perdida validador: 0.1649, Precision validador: 0.0000
Época [21/130] - Perdida entrenamiento: 0.1658, Precision: 0.0000 - Perdida validador: 0.1640, Precision validador: 0.0000
Época [22/130] - Perdida entrenamiento: 0.1662, Precision: 0.0000 - Perdida validador: 0.1651, Precision validador: 0.0000
Época [23/130] - Perdida entrenamiento: 0.1716, Precision: 0.0000 - Perdida validador: 0.1659, Precision validador: 0.0000
Época [24/130] - Perdida entrenamiento: 0.1765, Precision: 0.0000 - Perdida validador: 0.1640, Precision validador: 0.0000
Época [25/130] - Perdida entrenamiento: 0.1658, Precision: 0.0000 - Perdida validador: 0.1642, Precision validador: 0.0000
Época [26/130] - Perdida entrenamiento: 0.1674, Precision: 0.0000 - Perdida validador: 0.1665, Precision validador: 0.0000
Época [27/130] - Perdida entrenamiento: 0.1660, Precision: 0.0000 - Perdida validador: 0.1646, Precision validador: 0.0000
Época [28/130] - Perdida entrenamiento: 0.1671, Precision: 0.0000 - Perdida validador: 0.1638, Precision validador: 0.0000
Época [29/130] - Perdida entrenamiento: 0.1659, Precision: 0.0000 - Perdida validador: 0.1646, Precision validador: 0.0000
Época [30/130] - Perdida entrenamiento: 0.1773, Precision: 0.0000 - Perdida validador: 0.1653, Precision validador: 0.0000
Época [31/130] - Perdida entrenamiento: 0.1659, Precision: 0.0000 - Perdida validador: 0.1648, Precision validador: 0.0000
Época [32/130] - Perdida entrenamiento: 0.1663, Precision: 0.0000 - Perdida validador: 0.1639, Precision validador: 0.0000
Época [33/130] - Perdida entrenamiento: 0.1656, Precision: 0.0000 - Perdida validador: 0.1647, Precision validador: 0.0000
Época [34/130] - Perdida entrenamiento: 0.1665, Precision: 0.0000 - Perdida validador: 0.1643, Precision validador: 0.0000
Época [35/130] - Perdida entrenamiento: 0.1711, Precision: 0.0000 - Perdida validador: 0.1644, Precision validador: 0.0000
Época [36/130] - Perdida entrenamiento: 0.1761, Precision: 0.0000 - Perdida validador: 0.1658, Precision validador: 0.0000
Época [37/130] - Perdida entrenamiento: 0.1763, Precision: 0.0000 - Perdida validador: 0.1660, Precision validador: 0.0000
Época [38/130] - Perdida entrenamiento: 0.1679, Precision: 0.0000 - Perdida validador: 0.1667, Precision validador: 0.0000
Época [39/130] - Perdida entrenamiento: 0.1866, Precision: 0.0000 - Perdida validador: 0.1649, Precision validador: 0.0000
Época [40/130] - Perdida entrenamiento: 0.1786, Precision: 0.0000 - Perdida validador: 0.1643, Precision validador: 0.0000
Época [41/130] - Perdida entrenamiento: 0.1761, Precision: 0.0000 - Perdida validador: 0.1643, Precision validador: 0.0000
Época [42/130] - Perdida entrenamiento: 0.1669, Precision: 0.0000 - Perdida validador: 0.1653, Precision validador: 0.0000
Época [43/130] - Perdida entrenamiento: 0.1663, Precision: 0.0000 - Perdida validador: 0.1649, Precision validador: 0.0000
Época [44/130] - Perdida entrenamiento: 0.1664, Precision: 0.0000 - Perdida validador: 0.1656, Precision validador: 0.0000
Época [45/130] - Perdida entrenamiento: 0.1761, Precision: 0.0000 - Perdida validador: 0.1644, Precision validador: 0.0000
Época [46/130] - Perdida entrenamiento: 0.1660, Precision: 0.0000 - Perdida validador: 0.1646, Precision validador: 0.0000
Época [47/130] - Perdida entrenamiento: 0.1811, Precision: 0.0000 - Perdida validador: 0.1649, Precision validador: 0.0000
Época [48/130] - Perdida entrenamiento: 0.1665, Precision: 0.0000 - Perdida validador: 0.1642, Precision validador: 0.0000
Época [49/130] - Perdida entrenamiento: 0.1771, Precision: 0.0000 - Perdida validador: 0.1660, Precision validador: 0.0000
Época [50/130] - Perdida entrenamiento: 0.1673, Precision: 0.0000 - Perdida validador: 0.1641, Precision validador: 0.0000
Época [51/130] - Perdida entrenamiento: 0.1659, Precision: 0.0000 - Perdida validador: 0.1635, Precision validador: 0.0000
Época [52/130] - Perdida entrenamiento: 0.1664, Precision: 0.0000 - Perdida validador: 0.1646, Precision validador: 0.0000
Época [53/130] - Perdida entrenamiento: 0.1663, Precision: 0.0000 - Perdida validador: 0.1652, Precision validador: 0.0000
Época [54/130] - Perdida entrenamiento: 0.1712, Precision: 0.0000 - Perdida validador: 0.1644, Precision validador: 0.0000
Época [55/130] - Perdida entrenamiento: 0.1675, Precision: 0.0000 - Perdida validador: 0.1648, Precision validador: 0.0000
Época [56/130] - Perdida entrenamiento: 0.1779, Precision: 0.0000 - Perdida validador: 0.1643, Precision validador: 0.0000
Época [57/130] - Perdida entrenamiento: 0.1660, Precision: 0.0000 - Perdida validador: 0.1640, Precision validador: 0.0000
Época [58/130] - Perdida entrenamiento: 0.1661, Precision: 0.0000 - Perdida validador: 0.1652, Precision validador: 0.0000
Época [59/130] - Perdida entrenamiento: 0.1659, Precision: 0.0000 - Perdida validador: 0.1645, Precision validador: 0.0000
Época [60/130] - Perdida entrenamiento: 0.1667, Precision: 0.0000 - Perdida validador: 0.1653, Precision validador: 0.0000
Época [61/130] - Perdida entrenamiento: 0.1668, Precision: 0.0000 - Perdida validador: 0.1644, Precision validador: 0.0000
Época [62/130] - Perdida entrenamiento: 0.1657, Precision: 0.0000 - Perdida validador: 0.1645, Precision validador: 0.0000
Época [63/130] - Perdida entrenamiento: 0.1677, Precision: 0.0000 - Perdida validador: 0.1640, Precision validador: 0.0000
Época [64/130] - Perdida entrenamiento: 0.1772, Precision: 0.0000 - Perdida validador: 0.1654, Precision validador: 0.0000
Época [65/130] - Perdida entrenamiento: 0.1758, Precision: 0.0000 - Perdida validador: 0.1669, Precision validador: 0.0000
Época [66/130] - Perdida entrenamiento: 0.1884, Precision: 0.0000 - Perdida validador: 0.1645, Precision validador: 0.0000
Época [67/130] - Perdida entrenamiento: 0.1814, Precision: 0.0000 - Perdida validador: 0.1656, Precision validador: 0.0000
Época [68/130] - Perdida entrenamiento: 0.1880, Precision: 0.0000 - Perdida validador: 0.1653, Precision validador: 0.0000
Época [69/130] - Perdida entrenamiento: 0.1667, Precision: 0.0000 - Perdida validador: 0.1637, Precision validador: 0.0000
Época [70/130] - Perdida entrenamiento: 0.1656, Precision: 0.0000 - Perdida validador: 0.1627, Precision validador: 0.0000
Época [71/130] - Perdida entrenamiento: 0.1818, Precision: 0.0000 - Perdida validador: 0.1659, Precision validador: 0.0000
Época [72/130] - Perdida entrenamiento: 0.1675, Precision: 0.0000 - Perdida validador: 0.1649, Precision validador: 0.0000
Época [73/130] - Perdida entrenamiento: 0.1668, Precision: 0.0000 - Perdida validador: 0.1641, Precision validador: 0.0000
Época [74/130] - Perdida entrenamiento: 0.1658, Precision: 0.0000 - Perdida validador: 0.1637, Precision validador: 0.0000
Época [75/130] - Perdida entrenamiento: 0.1673, Precision: 0.0000 - Perdida validador: 0.1656, Precision validador: 0.0000
Época [76/130] - Perdida entrenamiento: 0.1659, Precision: 0.0000 - Perdida validador: 0.1642, Precision validador: 0.0000
Época [77/130] - Perdida entrenamiento: 0.1763, Precision: 0.0000 - Perdida validador: 0.1648, Precision validador: 0.0000
Época [78/130] - Perdida entrenamiento: 0.1662, Precision: 0.0000 - Perdida validador: 0.1653, Precision validador: 0.0000
Época [79/130] - Perdida entrenamiento: 0.1673, Precision: 0.0000 - Perdida validador: 0.1657, Precision validador: 0.0000
Época [80/130] - Perdida entrenamiento: 0.1861, Precision: 0.0000 - Perdida validador: 0.1657, Precision validador: 0.0000
Época [81/130] - Perdida entrenamiento: 0.1802, Precision: 0.0000 - Perdida validador: 0.1657, Precision validador: 0.0000
Época [82/130] - Perdida entrenamiento: 0.1661, Precision: 0.0000 - Perdida validador: 0.1647, Precision validador: 0.0000
Época [83/130] - Perdida entrenamiento: 0.1763, Precision: 0.0000 - Perdida validador: 0.1644, Precision validador: 0.0000
Época [84/130] - Perdida entrenamiento: 0.1660, Precision: 0.0000 - Perdida validador: 0.1644, Precision validador: 0.0000
Época [85/130] - Perdida entrenamiento: 0.1669, Precision: 0.0000 - Perdida validador: 0.1658, Precision validador: 0.0000
Época [86/130] - Perdida entrenamiento: 0.1761, Precision: 0.0000 - Perdida validador: 0.1642, Precision validador: 0.0000
Época [87/130] - Perdida entrenamiento: 0.1759, Precision: 0.0000 - Perdida validador: 0.1648, Precision validador: 0.0000
Época [88/130] - Perdida entrenamiento: 0.1764, Precision: 0.0000 - Perdida validador: 0.1647, Precision validador: 0.0000
Época [89/130] - Perdida entrenamiento: 0.1661, Precision: 0.0000 - Perdida validador: 0.1649, Precision validador: 0.0000
Época [90/130] - Perdida entrenamiento: 0.1668, Precision: 0.0000 - Perdida validador: 0.1641, Precision validador: 0.0000
Época [91/130] - Perdida entrenamiento: 0.1706, Precision: 0.0000 - Perdida validador: 0.1648, Precision validador: 0.0000
Época [92/130] - Perdida entrenamiento: 0.1660, Precision: 0.0000 - Perdida validador: 0.1644, Precision validador: 0.0000
Época [93/130] - Perdida entrenamiento: 0.1659, Precision: 0.0000 - Perdida validador: 0.1654, Precision validador: 0.0000
Época [94/130] - Perdida entrenamiento: 0.1663, Precision: 0.0000 - Perdida validador: 0.1648, Precision validador: 0.0000
Época [95/130] - Perdida entrenamiento: 0.1661, Precision: 0.0000 - Perdida validador: 0.1656, Precision validador: 0.0000
Época [96/130] - Perdida entrenamiento: 0.1664, Precision: 0.0000 - Perdida validador: 0.1644, Precision validador: 0.0000
Época [97/130] - Perdida entrenamiento: 0.1671, Precision: 0.0000 - Perdida validador: 0.1642, Precision validador: 0.0000
Época [98/130] - Perdida entrenamiento: 0.1891, Precision: 0.0000 - Perdida validador: 0.1649, Precision validador: 0.0000
Época [99/130] - Perdida entrenamiento: 0.1770, Precision: 0.0000 - Perdida validador: 0.1642, Precision validador: 0.0000
Época [100/130] - Perdida entrenamiento: 0.1658, Precision: 0.0000 - Perdida validador: 0.1633, Precision validador: 0.0000
Época [101/130] - Perdida entrenamiento: 0.1660, Precision: 0.0000 - Perdida validador: 0.1649, Precision validador: 0.0000
Época [102/130] - Perdida entrenamiento: 0.1719, Precision: 0.0000 - Perdida validador: 0.1657, Precision validador: 0.0000
Época [103/130] - Perdida entrenamiento: 0.1765, Precision: 0.0000 - Perdida validador: 0.1643, Precision validador: 0.0000
Época [104/130] - Perdida entrenamiento: 0.1662, Precision: 0.0000 - Perdida validador: 0.1646, Precision validador: 0.0000
Época [105/130] - Perdida entrenamiento: 0.1659, Precision: 0.0000 - Perdida validador: 0.1646, Precision validador: 0.0000
Época [106/130] - Perdida entrenamiento: 0.1706, Precision: 0.0000 - Perdida validador: 0.1646, Precision validador: 0.0000
Época [107/130] - Perdida entrenamiento: 0.1664, Precision: 0.0000 - Perdida validador: 0.1648, Precision validador: 0.0000
Época [108/130] - Perdida entrenamiento: 0.1761, Precision: 0.0000 - Perdida validador: 0.1648, Precision validador: 0.0000
Época [109/130] - Perdida entrenamiento: 0.1661, Precision: 0.0000 - Perdida validador: 0.1651, Precision validador: 0.0000
Época [110/130] - Perdida entrenamiento: 0.1767, Precision: 0.0000 - Perdida validador: 0.1651, Precision validador: 0.0000
Época [111/130] - Perdida entrenamiento: 0.1773, Precision: 0.0000 - Perdida validador: 0.1640, Precision validador: 0.0000
Época [112/130] - Perdida entrenamiento: 0.1759, Precision: 0.0000 - Perdida validador: 0.1643, Precision validador: 0.0000
Época [113/130] - Perdida entrenamiento: 0.1664, Precision: 0.0000 - Perdida validador: 0.1645, Precision validador: 0.0000
Época [114/130] - Perdida entrenamiento: 0.1665, Precision: 0.0000 - Perdida validador: 0.1649, Precision validador: 0.0000
Época [115/130] - Perdida entrenamiento: 0.1760, Precision: 0.0000 - Perdida validador: 0.1642, Precision validador: 0.0000
Época [116/130] - Perdida entrenamiento: 0.1676, Precision: 0.0000 - Perdida validador: 0.1649, Precision validador: 0.0000
Época [117/130] - Perdida entrenamiento: 0.1660, Precision: 0.0000 - Perdida validador: 0.1652, Precision validador: 0.0000
Época [118/130] - Perdida entrenamiento: 0.1763, Precision: 0.0000 - Perdida validador: 0.1644, Precision validador: 0.0000
Época [119/130] - Perdida entrenamiento: 0.1660, Precision: 0.0000 - Perdida validador: 0.1651, Precision validador: 0.0000
Época [120/130] - Perdida entrenamiento: 0.1762, Precision: 0.0000 - Perdida validador: 0.1650, Precision validador: 0.0000
Época [121/130] - Perdida entrenamiento: 0.1663, Precision: 0.0000 - Perdida validador: 0.1636, Precision validador: 0.0000
Época [122/130] - Perdida entrenamiento: 0.1762, Precision: 0.0000 - Perdida validador: 0.1645, Precision validador: 0.0000
Época [123/130] - Perdida entrenamiento: 0.1672, Precision: 0.0000 - Perdida validador: 0.1644, Precision validador: 0.0000
Época [124/130] - Perdida entrenamiento: 0.1665, Precision: 0.0000 - Perdida validador: 0.1646, Precision validador: 0.0000
Época [125/130] - Perdida entrenamiento: 0.1665, Precision: 0.0000 - Perdida validador: 0.1648, Precision validador: 0.0000
Época [126/130] - Perdida entrenamiento: 0.1654, Precision: 0.0000 - Perdida validador: 0.1651, Precision validador: 0.0000
Época [127/130] - Perdida entrenamiento: 0.1726, Precision: 0.0000 - Perdida validador: 0.1653, Precision validador: 0.0000
Época [128/130] - Perdida entrenamiento: 0.1764, Precision: 0.0000 - Perdida validador: 0.1654, Precision validador: 0.0000
Época [129/130] - Perdida entrenamiento: 0.1673, Precision: 0.0000 - Perdida validador: 0.1654, Precision validador: 0.0000
Época [130/130] - Perdida entrenamiento: 0.1676, Precision: 0.0000 - Perdida validador: 0.1633, Precision validador: 0.0000
