Época [1/50] - Perdida entrenamiento: 0.1971, Precision: 0.1713 - Perdida validador: 0.1675, Precision validador: 0.0028
Época [2/50] - Perdida entrenamiento: 0.1734, Precision: 0.0595 - Perdida validador: 0.1659, Precision validador: 0.0000
Época [3/50] - Perdida entrenamiento: 0.1691, Precision: 0.0601 - Perdida validador: 0.1645, Precision validador: 0.0000
Época [4/50] - Perdida entrenamiento: 0.1694, Precision: 0.0150 - Perdida validador: 0.1643, Precision validador: 0.0000
Época [5/50] - Perdida entrenamiento: 0.1767, Precision: 0.0931 - Perdida validador: 0.1739, Precision validador: 0.0000
Época [6/50] - Perdida entrenamiento: 0.1686, Precision: 0.0000 - Perdida validador: 0.1705, Precision validador: 0.0000
Época [7/50] - Perdida entrenamiento: 0.1687, Precision: 0.0469 - Perdida validador: 0.1668, Precision validador: 0.0000
Época [8/50] - Perdida entrenamiento: 0.1799, Precision: 0.0096 - Perdida validador: 0.1704, Precision validador: 0.0000
Época [9/50] - Perdida entrenamiento: 0.1859, Precision: 0.0889 - Perdida validador: 0.1660, Precision validador: 0.0000
Época [10/50] - Perdida entrenamiento: 0.1890, Precision: 0.1202 - Perdida validador: 0.1671, Precision validador: 0.0000
Época [11/50] - Perdida entrenamiento: 0.1730, Precision: 0.0126 - Perdida validador: 0.1641, Precision validador: 0.0000
Época [12/50] - Perdida entrenamiento: 0.1670, Precision: 0.0000 - Perdida validador: 0.1658, Precision validador: 0.0000
Época [13/50] - Perdida entrenamiento: 0.1832, Precision: 0.0907 - Perdida validador: 0.1725, Precision validador: 0.0000
Época [14/50] - Perdida entrenamiento: 0.1707, Precision: 0.0631 - Perdida validador: 0.1680, Precision validador: 0.0000
Época [15/50] - Perdida entrenamiento: 0.1678, Precision: 0.0000 - Perdida validador: 0.1733, Precision validador: 0.4053
Época [16/50] - Perdida entrenamiento: 0.1818, Precision: 0.1466 - Perdida validador: 0.1651, Precision validador: 0.0000
Época [17/50] - Perdida entrenamiento: 0.1695, Precision: 0.0006 - Perdida validador: 0.1698, Precision validador: 0.0000
Época [18/50] - Perdida entrenamiento: 0.1881, Precision: 0.0168 - Perdida validador: 0.2165, Precision validador: 0.0000
Época [19/50] - Perdida entrenamiento: 0.2273, Precision: 0.1508 - Perdida validador: 0.1653, Precision validador: 0.0000
Época [20/50] - Perdida entrenamiento: 0.1704, Precision: 0.0451 - Perdida validador: 0.1705, Precision validador: 0.0000
Época [21/50] - Perdida entrenamiento: 0.1783, Precision: 0.2206 - Perdida validador: 0.1646, Precision validador: 0.0000
Época [22/50] - Perdida entrenamiento: 0.1758, Precision: 0.0012 - Perdida validador: 0.1786, Precision validador: 0.0000
Época [23/50] - Perdida entrenamiento: 0.1748, Precision: 0.0282 - Perdida validador: 0.1766, Precision validador: 0.3857
Época [24/50] - Perdida entrenamiento: 0.1780, Precision: 0.0493 - Perdida validador: 0.1738, Precision validador: 0.0000
Época [25/50] - Perdida entrenamiento: 0.1827, Precision: 0.0012 - Perdida validador: 0.1644, Precision validador: 0.0000
Época [26/50] - Perdida entrenamiento: 0.1863, Precision: 0.1196 - Perdida validador: 0.1698, Precision validador: 0.0000
Época [27/50] - Perdida entrenamiento: 0.1856, Precision: 0.1130 - Perdida validador: 0.1740, Precision validador: 0.0000
Época [28/50] - Perdida entrenamiento: 0.1872, Precision: 0.0427 - Perdida validador: 0.1667, Precision validador: 0.0000
Época [29/50] - Perdida entrenamiento: 0.1894, Precision: 0.0631 - Perdida validador: 0.1642, Precision validador: 0.0000
Época [30/50] - Perdida entrenamiento: 0.1717, Precision: 0.0306 - Perdida validador: 0.1708, Precision validador: 0.0000
Época [31/50] - Perdida entrenamiento: 0.1715, Precision: 0.0787 - Perdida validador: 0.1728, Precision validador: 0.0000
Época [32/50] - Perdida entrenamiento: 0.1681, Precision: 0.0300 - Perdida validador: 0.1658, Precision validador: 0.0000
Época [33/50] - Perdida entrenamiento: 0.1711, Precision: 0.0006 - Perdida validador: 0.1678, Precision validador: 0.0000
Época [34/50] - Perdida entrenamiento: 0.1675, Precision: 0.0901 - Perdida validador: 0.1683, Precision validador: 0.0000
Época [35/50] - Perdida entrenamiento: 0.1671, Precision: 0.0012 - Perdida validador: 0.1722, Precision validador: 0.0000
Época [36/50] - Perdida entrenamiento: 0.1778, Precision: 0.0150 - Perdida validador: 0.1674, Precision validador: 0.0000
Época [37/50] - Perdida entrenamiento: 0.1772, Precision: 0.0012 - Perdida validador: 0.1766, Precision validador: 0.0000
Época [38/50] - Perdida entrenamiento: 0.1891, Precision: 0.1430 - Perdida validador: 0.1637, Precision validador: 0.0000
Época [39/50] - Perdida entrenamiento: 0.1682, Precision: 0.0006 - Perdida validador: 0.1649, Precision validador: 0.0000
Época [40/50] - Perdida entrenamiento: 0.1711, Precision: 0.0006 - Perdida validador: 0.1664, Precision validador: 0.0000
Época [41/50] - Perdida entrenamiento: 0.1730, Precision: 0.0300 - Perdida validador: 0.1658, Precision validador: 0.0000
Época [42/50] - Perdida entrenamiento: 0.1722, Precision: 0.0883 - Perdida validador: 0.1637, Precision validador: 0.0000
Época [43/50] - Perdida entrenamiento: 0.1785, Precision: 0.0018 - Perdida validador: 0.1825, Precision validador: 0.0000
Época [44/50] - Perdida entrenamiento: 0.1721, Precision: 0.0895 - Perdida validador: 0.1725, Precision validador: 0.4053
Época [45/50] - Perdida entrenamiento: 0.1701, Precision: 0.0475 - Perdida validador: 0.1657, Precision validador: 0.0000
Época [46/50] - Perdida entrenamiento: 0.1819, Precision: 0.0739 - Perdida validador: 0.1704, Precision validador: 0.0000
Época [47/50] - Perdida entrenamiento: 0.1785, Precision: 0.1358 - Perdida validador: 0.1699, Precision validador: 0.0000
Época [48/50] - Perdida entrenamiento: 0.1765, Precision: 0.1659 - Perdida validador: 0.1831, Precision validador: 0.0000
Época [49/50] - Perdida entrenamiento: 0.1740, Precision: 0.1142 - Perdida validador: 0.1663, Precision validador: 0.0000
Época [50/50] - Perdida entrenamiento: 0.1674, Precision: 0.0312 - Perdida validador: 0.1641, Precision validador: 0.0000
