Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
540.0_ ,0.0_ ,0.0_ ,162.0_ ,2.5_ ,1040.0_ ,676.0_ ,28_ ,79.99_ 
540.0_ ,0.0_ ,0.0_ ,162.0_ ,2.5_ ,1055.0_ ,676.0_ ,28_ ,61.89_ 
332.5_ ,142.5_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,594.0_ ,270_ ,40.27_ 
332.5_ ,142.5_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,594.0_ ,365_ ,41.05_ 
198.6_ ,132.4_ ,0.0_ ,192.0_ ,0.0_ ,978.4_ ,825.5_ ,360_ ,44.30_ 
266.0_ ,114.0_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,670.0_ ,90_ ,47.03_ 
380.0_ ,95.0_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,594.0_ ,365_ ,43.70_ 
380.0_ ,95.0_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,594.0_ ,28_ ,36.45_ 
266.0_ ,114.0_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,670.0_ ,28_ ,45.85_ 
475.0_ ,0.0_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,594.0_ ,28_ ,39.29_ 
198.6_ ,132.4_ ,0.0_ ,192.0_ ,0.0_ ,978.4_ ,825.5_ ,90_ ,38.07_ 
198.6_ ,132.4_ ,0.0_ ,192.0_ ,0.0_ ,978.4_ ,825.5_ ,28_ ,28.02_ 
427.5_ ,47.5_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,594.0_ ,270_ ,43.01_ 
190.0_ ,190.0_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,670.0_ ,90_ ,42.33_ 
304.0_ ,76.0_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,670.0_ ,28_ ,47.81_ 
380.0_ ,0.0_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,670.0_ ,90_ ,52.91_ 
139.6_ ,209.4_ ,0.0_ ,192.0_ ,0.0_ ,1047.0_ ,806.9_ ,90_ ,39.36_ 
342.0_ ,38.0_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,670.0_ ,365_ ,56.14_ 
380.0_ ,95.0_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,594.0_ ,90_ ,40.56_ 
475.0_ ,0.0_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,594.0_ ,180_ ,42.62_ 
427.5_ ,47.5_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,594.0_ ,180_ ,41.84_ 
139.6_ ,209.4_ ,0.0_ ,192.0_ ,0.0_ ,1047.0_ ,806.9_ ,28_ ,28.24_ 
139.6_ ,209.4_ ,0.0_ ,192.0_ ,0.0_ ,1047.0_ ,806.9_ ,3_ ,8.06_ 
139.6_ ,209.4_ ,0.0_ ,192.0_ ,0.0_ ,1047.0_ ,806.9_ ,180_ ,44.21_ 
380.0_ ,0.0_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,670.0_ ,365_ ,52.52_ 
380.0_ ,0.0_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,670.0_ ,270_ ,53.30_ 
380.0_ ,95.0_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,594.0_ ,270_ ,41.15_ 
342.0_ ,38.0_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,670.0_ ,180_ ,52.12_ 
427.5_ ,47.5_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,594.0_ ,28_ ,37.43_ 
475.0_ ,0.0_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,594.0_ ,7_ ,38.60_ 
304.0_ ,76.0_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,670.0_ ,365_ ,55.26_ 
266.0_ ,114.0_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,670.0_ ,365_ ,52.91_ 
198.6_ ,132.4_ ,0.0_ ,192.0_ ,0.0_ ,978.4_ ,825.5_ ,180_ ,41.72_ 
475.0_ ,0.0_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,594.0_ ,270_ ,42.13_ 
190.0_ ,190.0_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,670.0_ ,365_ ,53.69_ 
237.5_ ,237.5_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,594.0_ ,270_ ,38.41_ 
237.5_ ,237.5_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,594.0_ ,28_ ,30.08_ 
332.5_ ,142.5_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,594.0_ ,90_ ,37.72_ 
475.0_ ,0.0_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,594.0_ ,90_ ,42.23_ 
237.5_ ,237.5_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,594.0_ ,180_ ,36.25_ 
342.0_ ,38.0_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,670.0_ ,90_ ,50.46_ 
427.5_ ,47.5_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,594.0_ ,365_ ,43.70_ 
237.5_ ,237.5_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,594.0_ ,365_ ,39.00_ 
380.0_ ,0.0_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,670.0_ ,180_ ,53.10_ 
427.5_ ,47.5_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,594.0_ ,90_ ,41.54_ 
427.5_ ,47.5_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,594.0_ ,7_ ,35.08_ 
349.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,1047.0_ ,806.9_ ,3_ ,15.05_ 
380.0_ ,95.0_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,594.0_ ,180_ ,40.76_ 
237.5_ ,237.5_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,594.0_ ,7_ ,26.26_ 
380.0_ ,95.0_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,594.0_ ,7_ ,32.82_ 
332.5_ ,142.5_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,594.0_ ,180_ ,39.78_ 
190.0_ ,190.0_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,670.0_ ,180_ ,46.93_ 
237.5_ ,237.5_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,594.0_ ,90_ ,33.12_ 
304.0_ ,76.0_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,670.0_ ,90_ ,49.19_ 
139.6_ ,209.4_ ,0.0_ ,192.0_ ,0.0_ ,1047.0_ ,806.9_ ,7_ ,14.59_ 
198.6_ ,132.4_ ,0.0_ ,192.0_ ,0.0_ ,978.4_ ,825.5_ ,7_ ,14.64_ 
475.0_ ,0.0_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,594.0_ ,365_ ,41.93_ 
198.6_ ,132.4_ ,0.0_ ,192.0_ ,0.0_ ,978.4_ ,825.5_ ,3_ ,9.13_ 
304.0_ ,76.0_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,670.0_ ,180_ ,50.95_ 
332.5_ ,142.5_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,594.0_ ,28_ ,33.02_ 
304.0_ ,76.0_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,670.0_ ,270_ ,54.38_ 
266.0_ ,114.0_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,670.0_ ,270_ ,51.73_ 
310.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,971.0_ ,850.6_ ,3_ ,9.87_ 
190.0_ ,190.0_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,670.0_ ,270_ ,50.66_ 
266.0_ ,114.0_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,670.0_ ,180_ ,48.70_ 
342.0_ ,38.0_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,670.0_ ,270_ ,55.06_ 
139.6_ ,209.4_ ,0.0_ ,192.0_ ,0.0_ ,1047.0_ ,806.9_ ,360_ ,44.70_ 
332.5_ ,142.5_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,594.0_ ,7_ ,30.28_ 
190.0_ ,190.0_ ,0.0_ ,228.0_ ,0.0_ ,932.0_ ,670.0_ ,28_ ,40.86_ 
485.0_ ,0.0_ ,0.0_ ,146.0_ ,0.0_ ,1120.0_ ,800.0_ ,28_ ,71.99_ 
374.0_ ,189.2_ ,0.0_ ,170.1_ ,10.1_ ,926.1_ ,756.7_ ,3_ ,34.40_ 
313.3_ ,262.2_ ,0.0_ ,175.5_ ,8.6_ ,1046.9_ ,611.8_ ,3_ ,28.80_ 
425.0_ ,106.3_ ,0.0_ ,153.5_ ,16.5_ ,852.1_ ,887.1_ ,3_ ,33.40_ 
425.0_ ,106.3_ ,0.0_ ,151.4_ ,18.6_ ,936.0_ ,803.7_ ,3_ ,36.30_ 
375.0_ ,93.8_ ,0.0_ ,126.6_ ,23.4_ ,852.1_ ,992.6_ ,3_ ,29.00_ 
475.0_ ,118.8_ ,0.0_ ,181.1_ ,8.9_ ,852.1_ ,781.5_ ,3_ ,37.80_ 
469.0_ ,117.2_ ,0.0_ ,137.8_ ,32.2_ ,852.1_ ,840.5_ ,3_ ,40.20_ 
425.0_ ,106.3_ ,0.0_ ,153.5_ ,16.5_ ,852.1_ ,887.1_ ,3_ ,33.40_ 
388.6_ ,97.1_ ,0.0_ ,157.9_ ,12.1_ ,852.1_ ,925.7_ ,3_ ,28.10_ 
531.3_ ,0.0_ ,0.0_ ,141.8_ ,28.2_ ,852.1_ ,893.7_ ,3_ ,41.30_ 
425.0_ ,106.3_ ,0.0_ ,153.5_ ,16.5_ ,852.1_ ,887.1_ ,3_ ,33.40_ 
318.8_ ,212.5_ ,0.0_ ,155.7_ ,14.3_ ,852.1_ ,880.4_ ,3_ ,25.20_ 
401.8_ ,94.7_ ,0.0_ ,147.4_ ,11.4_ ,946.8_ ,852.1_ ,3_ ,41.10_ 
362.6_ ,189.0_ ,0.0_ ,164.9_ ,11.6_ ,944.7_ ,755.8_ ,3_ ,35.30_ 
323.7_ ,282.8_ ,0.0_ ,183.8_ ,10.3_ ,942.7_ ,659.9_ ,3_ ,28.30_ 
379.5_ ,151.2_ ,0.0_ ,153.9_ ,15.9_ ,1134.3_ ,605.0_ ,3_ ,28.60_ 
362.6_ ,189.0_ ,0.0_ ,164.9_ ,11.6_ ,944.7_ ,755.8_ ,3_ ,35.30_ 
286.3_ ,200.9_ ,0.0_ ,144.7_ ,11.2_ ,1004.6_ ,803.7_ ,3_ ,24.40_ 
362.6_ ,189.0_ ,0.0_ ,164.9_ ,11.6_ ,944.7_ ,755.8_ ,3_ ,35.30_ 
439.0_ ,177.0_ ,0.0_ ,186.0_ ,11.1_ ,884.9_ ,707.9_ ,3_ ,39.30_ 
389.9_ ,189.0_ ,0.0_ ,145.9_ ,22.0_ ,944.7_ ,755.8_ ,3_ ,40.60_ 
362.6_ ,189.0_ ,0.0_ ,164.9_ ,11.6_ ,944.7_ ,755.8_ ,3_ ,35.30_ 
337.9_ ,189.0_ ,0.0_ ,174.9_ ,9.5_ ,944.7_ ,755.8_ ,3_ ,24.10_ 
374.0_ ,189.2_ ,0.0_ ,170.1_ ,10.1_ ,926.1_ ,756.7_ ,7_ ,46.20_ 
313.3_ ,262.2_ ,0.0_ ,175.5_ ,8.6_ ,1046.9_ ,611.8_ ,7_ ,42.80_ 
425.0_ ,106.3_ ,0.0_ ,153.5_ ,16.5_ ,852.1_ ,887.1_ ,7_ ,49.20_ 
425.0_ ,106.3_ ,0.0_ ,151.4_ ,18.6_ ,936.0_ ,803.7_ ,7_ ,46.80_ 
375.0_ ,93.8_ ,0.0_ ,126.6_ ,23.4_ ,852.1_ ,992.6_ ,7_ ,45.70_ 
475.0_ ,118.8_ ,0.0_ ,181.1_ ,8.9_ ,852.1_ ,781.5_ ,7_ ,55.60_ 
