,No,age,bmi,children,charges,region_IDN,region_northeast,region_northwest,region_southeast,region_southwest,sex_IDN,sex_female,sex_male,smoker_IDN,smoker_no,smoker_yes
0,0,19.0,27.9,0.0,16884.924,0,0,0,0,1,0,1,0,0,0,1
1,1,39.0,33.77,1.0,1725.5523,0,0,0,1,0,0,0,1,0,1,0
2,2,28.0,33.0,3.0,4449.462,1,0,0,0,0,0,0,1,0,1,0
3,3,33.0,22.705,0.0,21984.47061,0,0,1,0,0,0,0,1,0,1,0
4,4,32.0,28.88,0.0,3866.8552,0,0,1,0,0,0,0,1,0,1,0
5,5,31.0,25.74,0.0,3756.6216,0,0,0,1,0,0,1,0,0,1,0
6,6,46.0,33.44,1.0,8240.5896,0,0,0,1,0,0,1,0,0,1,0
7,7,37.0,27.74,3.0,7281.5056,0,0,1,0,0,0,1,0,0,1,0
8,8,37.0,29.83,2.0,6406.4107,0,1,0,0,0,1,0,0,0,1,0
9,9,60.0,25.84,0.0,28923.13692,0,0,1,0,0,0,1,0,0,1,0
10,10,25.0,30.631379032258067,0.0,2721.3208,0,1,0,0,0,0,0,1,0,1,0
11,11,62.0,26.29,0.0,27808.7251,0,0,0,1,0,0,1,0,0,0,1
12,12,23.0,34.4,0.0,1826.843,0,0,0,0,1,1,0,0,0,1,0
13,13,56.0,39.82,0.0,11090.7178,0,0,0,1,0,0,1,0,0,1,0
14,14,27.0,42.13,0.0,39611.7577,0,0,0,1,0,0,0,1,0,0,1
15,15,19.0,24.6,1.0,1837.237,0,0,0,0,1,0,0,1,0,1,0
16,16,52.0,30.78,1.0,10797.3362,0,1,0,0,0,0,1,0,0,1,0
17,17,23.0,23.845,0.0,2395.17155,0,1,0,0,0,0,0,1,0,1,0
18,18,56.0,40.3,0.0,10602.385,0,0,0,0,1,0,0,1,0,1,0
19,19,30.0,35.3,0.0,36837.467,0,0,0,0,1,0,0,1,0,0,1
20,20,60.0,36.005,0.0,13228.84695,0,1,0,0,0,1,0,0,0,1,0
21,21,30.0,32.4,1.0,4149.736,0,0,0,0,1,0,1,0,0,1,0
22,22,18.0,34.1,0.0,1137.011,0,0,0,1,0,0,0,1,0,1,0
23,23,34.0,31.92,1.0,37701.8768,0,1,0,0,0,0,1,0,0,0,1
24,24,37.0,30.631379032258067,2.0,6203.90175,0,0,1,0,0,0,0,1,0,1,0
25,25,59.0,27.72,3.0,14001.1338,0,0,0,1,0,0,1,0,0,1,0
26,26,63.0,23.085,0.0,14451.83515,0,1,0,0,0,0,1,0,0,1,0
27,27,55.0,32.775,2.0,12268.63225,0,0,1,0,0,0,1,0,0,1,0
28,28,23.0,17.385,1.0,2775.19215,0,0,1,0,0,0,0,1,0,1,0
29,29,31.0,36.3,2.0,38711.0,0,0,0,0,1,0,0,1,0,0,1
30,30,22.0,35.6,0.0,35585.576,0,0,0,0,1,0,0,1,0,0,1
31,31,18.0,26.315,0.0,2198.18985,0,1,0,0,0,0,1,0,0,1,0
32,32,19.0,28.6,5.0,4687.7970000000005,0,0,0,0,1,0,1,0,0,1,0
33,33,63.0,28.31,0.0,13770.0979,0,0,1,0,0,0,0,1,0,1,0
34,34,28.0,36.4,1.0,51194.55914,0,0,0,0,1,0,0,1,0,0,1
35,35,19.0,20.425,0.0,1625.43375,0,0,1,0,0,1,0,0,0,1,0
36,36,62.0,32.965,3.0,15612.19335,0,0,1,0,0,0,1,0,0,1,0
37,37,26.0,20.8,0.0,2302.3,0,0,0,0,1,0,0,1,0,1,0
38,38,35.0,36.67,1.0,39774.2763,0,1,0,0,0,0,0,1,0,0,1
39,39,60.0,39.9,0.0,48173.361,0,0,0,0,1,0,0,1,0,0,1
40,40,24.0,26.6,0.0,3046.062,0,1,0,0,0,0,1,0,0,1,0
41,41,31.0,36.63,2.0,4949.7587,0,0,0,1,0,0,1,0,0,1,0
42,42,41.0,30.631379032258067,1.0,6272.4772,0,0,0,1,0,0,0,1,0,1,0
43,43,37.0,30.8,2.0,6313.759,0,0,0,1,0,0,1,0,0,1,0
44,44,38.0,37.05,1.0,6079.6715,1,0,0,0,0,0,0,1,0,1,0
45,45,55.0,30.631379032258067,0.0,20630.28351,0,0,0,0,1,0,0,1,1,0,0
46,46,18.0,38.665,2.0,3393.35635,0,1,0,0,0,0,1,0,0,1,0
47,47,28.0,34.77,0.0,3556.9223,0,0,1,0,0,0,1,0,0,1,0
48,48,60.0,24.53,0.0,12629.8967,0,0,0,1,0,0,1,0,1,0,0
49,49,36.0,35.2,1.0,38709.176,0,0,0,1,0,1,0,0,0,0,1
50,50,18.0,35.625,0.0,2211.13075,0,1,0,0,0,0,1,0,0,1,0
51,51,21.0,33.63,2.0,3579.8287,1,0,0,0,0,0,1,0,0,1,0
52,52,48.0,28.0,1.0,23568.272,0,0,0,0,1,0,0,1,0,0,1
53,53,36.0,34.43,0.0,37742.5757,0,0,0,1,0,0,0,1,0,0,1
54,54,40.0,28.69,3.0,8059.6791,0,0,1,0,0,1,0,0,0,1,0
55,55,58.0,36.955,2.0,47496.49445,0,0,1,0,0,0,0,1,0,0,1
56,56,58.0,31.825,2.0,13607.36875,0,1,0,0,0,0,1,0,0,1,0
57,57,18.0,31.68,2.0,34303.1672,0,0,0,1,0,0,0,1,0,0,1
58,58,53.0,22.88,1.0,23244.7902,1,0,0,0,0,0,1,0,0,0,1
59,59,34.0,37.335,2.0,5989.52365,0,0,1,0,0,0,1,0,0,1,0
60,60,43.0,30.631379032258067,3.0,8606.2174,0,1,0,0,0,0,0,1,0,1,0
61,61,25.0,33.66,4.0,4504.6624,0,0,0,1,0,0,0,1,0,1,0
62,62,64.0,24.7,1.0,30166.61817,0,0,1,0,0,0,0,1,0,1,0
63,63,28.0,30.631379032258067,1.0,13311.265686102104,0,0,1,0,0,0,1,0,0,1,0
