,Producto,Categoria,Precio_Unitario,Inventario_Disponible,Unidades_Vendidas,Marca,Oferta,Peso,Resolución,Conexión
0,Laptop,Computadoras,686.9021545015712,36,6,MarcaA,True,4.460754833317387,Full HD,WiFi
1,Tablet,Computadoras,1435.928598332891,40,6,MarcaB,False,1.1530174291593827,HD,WiFi
2,Monitor,Monitores,1151.5921243548266,41,9,MarcaC,False,1.2001744671312027,4K,HDMI
3,Teclado,Accesorios,978.2560294561475,18,10,MarcaA,False,1.3702890536873957,N/A,USB
4,Mouse,Accesorios,402.82423257516746,31,13,MarcaB,True,3.440384759268918,N/A,USB
5,Disco Duro,Almacenamiento,402.79287643706346,23,5,MarcaC,True,0.9823957395229512,1TB,SATA
6,Impresora,Impresoras,275.5086958186593,35,5,MarcaA,True,4.002267330552947,N/A,USB
7,Router,Redes,1326.0289895074156,13,6,MarcaB,True,0.7621321818112439,N/A,WiFi
8,Cámara Web,Accesorios,981.4495152661715,42,11,MarcaC,False,0.9970095230231906,720p,USB
9,Auriculares,Audio,1120.4943511348592,21,6,MarcaA,True,2.4551921374993784,N/A,3.5mm
10,Laptop,Computadoras,226.75984258454318,23,3,MarcaA,False,2.206271758774553,Full HD,WiFi
11,Tablet,Computadoras,1460.8828078105926,48,6,MarcaB,False,4.953687207788453,HD,WiFi
12,Monitor,Monitores,1282.1754330405483,8,8,MarcaC,False,4.850887805234165,4K,HDMI
13,Teclado,Accesorios,476.040843881759,15,12,MarcaA,False,1.353568133100315,N/A,USB
14,Mouse,Accesorios,436.3724573692308,26,6,MarcaB,True,4.759994952853082,N/A,USB
15,Disco Duro,Almacenamiento,438.425862809464,8,12,MarcaC,False,3.6151785680538473,1TB,SATA
16,Impresora,Impresoras,595.514915847399,21,11,MarcaA,False,2.3397942448995526,N/A,USB
17,Router,Redes,882.1833611219092,12,5,MarcaB,True,3.828339194724236,N/A,WiFi
18,Cámara Web,Accesorios,761.5285242347505,38,3,MarcaC,False,4.550634345679461,720p,USB
19,Auriculares,Audio,578.5978822574546,15,1,MarcaA,True,1.3106369920953875,N/A,3.5mm
20,Laptop,Computadoras,995.4087631390934,35,5,MarcaA,True,1.381929176199475,Full HD,WiFi
21,Tablet,Computadoras,381.34201884765434,15,6,MarcaB,True,2.3392434300244718,HD,WiFi
22,Monitor,Monitores,579.7880430957837,42,14,MarcaC,True,1.2614529710078182,4K,HDMI
23,Teclado,Accesorios,676.2703962817992,25,6,MarcaA,False,2.121788685676171,N/A,USB
24,Mouse,Accesorios,792.8909794821467,34,14,MarcaB,True,3.4056118717813133,N/A,USB
25,Disco Duro,Almacenamiento,1220.7287498109176,14,6,MarcaC,False,4.157681564002346,1TB,SATA
26,Impresora,Impresoras,459.5759168058677,30,3,MarcaA,False,1.8587072195842977,N/A,USB
27,Router,Redes,868.5047699376951,31,4,MarcaB,True,1.767788077121771,N/A,WiFi
28,Cámara Web,Accesorios,970.1389395206552,12,3,MarcaC,False,4.008843339751299,720p,USB
29,Auriculares,Audio,260.38553653599706,43,2,MarcaA,False,2.214618017011291,N/A,3.5mm
30,Laptop,Computadoras,989.8083074718699,12,8,MarcaA,False,4.183139155409787,Full HD,WiFi
31,Tablet,Computadoras,421.68136079347903,12,7,MarcaB,True,4.97021144148146,HD,WiFi
32,Monitor,Monitores,284.56707088086335,38,11,MarcaC,False,4.9085090419267265,4K,HDMI
33,Teclado,Accesorios,1433.5511984293332,20,8,MarcaA,True,3.4820912968128006,N/A,USB
34,Mouse,Accesorios,1455.3216429969273,45,13,MarcaB,True,2.1884594511985274,N/A,USB
35,Disco Duro,Almacenamiento,1250.9165525513995,17,6,MarcaC,True,0.794704367645432,1TB,SATA
36,Impresora,Impresoras,595.997899925382,27,11,MarcaA,False,3.8211828472267735,N/A,USB
37,Router,Redes,326.973748208299,16,12,MarcaB,False,4.900852584739598,N/A,WiFi
38,Cámara Web,Accesorios,1089.502934465804,31,14,MarcaC,False,0.8059300844703265,720p,USB
39,Auriculares,Audio,772.1982418614817,26,7,MarcaA,True,0.5277546977928806,N/A,3.5mm
40,Laptop,Computadoras,358.64970529821244,36,1,MarcaA,False,4.242992884617729,Full HD,WiFi
41,Tablet,Computadoras,843.7299831446512,31,10,MarcaB,True,0.9601653291720671,HD,WiFi
42,Monitor,Monitores,244.70507744978391,6,5,MarcaC,True,0.8673034120051076,4K,HDMI
43,Teclado,Accesorios,1382.1165227024167,49,4,MarcaA,False,4.5965123070043035,N/A,USB
44,Mouse,Accesorios,536.4139760800219,37,10,MarcaB,False,0.858023652523466,N/A,USB
